"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Significant","Direction"
1.05940943829321,11.1008584747211,25.0046029372645,4.6622476049871e-50,1.50873158101992e-47,103.630124711574,"CLCA2",TRUE,"Up"
-2.91497200772946,6.24216919414895,-24.7049717654325,1.60888091776148e-49,5.12872815545518e-47,102.395827039175,"BTC",TRUE,"Down"
1.28829150887909,9.70789065392575,24.6885935923387,1.72208009640066e-49,5.40885098513607e-47,102.328064832214,"MICALL1",TRUE,"Up"
1.96397328161572,8.88454444055336,24.6034048040653,2.45390478698427e-49,7.59572441165362e-47,101.975115268275,"STAT1",TRUE,"Up"
2.85729677647889,6.96528364151097,24.5786597044937,2.72019648271571e-49,8.29970806826316e-47,101.872437225356,"OASL",TRUE,"Up"
4.13978511338756,9.01548558020073,24.4570249184047,4.51823561419328e-49,1.35916163729493e-46,101.366702008609,"LTF",TRUE,"Up"
2.7458472196471,9.54323433994862,24.3778534696288,6.29210547838451e-49,1.86648317787967e-46,101.036608367478,"IL36RN",TRUE,"Up"
1.40266349271324,7.56147612755094,24.3721174298508,6.44508098634133e-49,1.88567177679833e-46,101.012664759991,"SOD2",TRUE,"Up"
0.908346747936746,7.66590613256668,24.2999362491733,8.72260234280486e-49,2.5175316329409e-46,100.711038852981,"PTAFR",TRUE,"Up"
2.06327607790623,6.8946402266729,24.2912031644933,9.04822779080515e-49,2.57669398874688e-46,100.674504834246,"SH3PXD2A-AS1",TRUE,"Up"
0.89266761063989,9.92929333043624,24.2272123492322,1.18389202982761e-48,3.32704815434974e-46,100.406536399945,"PRELID1",TRUE,"Up"
1.44585502662892,6.42810137759808,24.1538826753616,1.61193786750499e-48,4.47113882781449e-46,100.098877478056,"RGS20",TRUE,"Up"
1.12575220645667,8.8181973428959,24.1479976245978,1.65240648525595e-48,4.52462791180725e-46,100.074159372859,"UBE2F",TRUE,"Up"
2.16664013206238,8.18402478482149,24.0950760228381,2.06552878744719e-48,5.58424858763254e-46,99.8516999166072,"IRF7",TRUE,"Up"
0.686360055645565,10.3082271878943,24.0760059831026,2.23865919511648e-48,5.97666038616222e-46,99.7714579604201,"MRPL15",TRUE,"Up"
2.01186510139971,6.52286458435433,24.0275957275608,2.74668394196873e-48,7.2424290904405e-46,99.5675696400099,"DLGAP5",TRUE,"Up"
2.23644333348084,7.16737821234606,23.9897163029427,3.22395801036862e-48,8.39723112017718e-46,99.4078433764617,"CCNB1",TRUE,"Up"
2.16839230289614,8.31643529999739,23.9645019110834,3.58711543215061e-48,9.23055559034612e-46,99.3014290143038,"GDPD3",TRUE,"Up"
0.562477704783298,6.86191234772979,23.9142416641003,4.4385608283233e-48,1.12855693061106e-45,99.0890901060044,"TMEM165",FALSE,"Not Sig"
-2.93491241602051,10.2508919147519,-23.8785791549582,5.16357570989473e-48,1.29745470602273e-45,98.9382444448323,"KRT77",TRUE,"Down"
0.966954147945721,10.7822048754552,23.7558297341764,8.70170285405345e-48,2.16105778554504e-45,98.4178986408712,"IFI16",TRUE,"Up"
0.870876455595605,9.91259541082278,23.6745509048418,1.23055236474607e-47,3.02093533405132e-45,98.0723766695328,"ATOX1",TRUE,"Up"
1.06104766022125,9.76431160180391,23.6144476252633,1.59074785373108e-47,3.86081734772596e-45,97.8163731584303,"DDX39A",TRUE,"Up"
1.73470335830718,9.36535021122516,23.5809025530533,1.83616674816432e-47,4.40638757385321e-45,97.6733062303893,"FAM110C",TRUE,"Up"
